transaction_type,description,amount_field,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,other,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE,total,FBA_INVENTORY_FEE_FBA_AMAZON-PARTNERED_CARRIER_SHIPMENT_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_LONG-TERM_STORAGE_FEE,other,FBA_INVENTORY_FEE_FBA_LONG-TERM_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_LONG-TERM_STORAGE_FEE,total,FBA_INVENTORY_FEE_FBA_LONG-TERM_STORAGE_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_STORAGE_FEE,other,FBA_INVENTORY_FEE_FBA_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_STORAGE_FEE,total,FBA_INVENTORY_FEE_FBA_STORAGE_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_REMOVAL_ORDER:_DISPOSAL_FEE,other,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_REMOVAL_ORDER:_DISPOSAL_FEE,total,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,,
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_DISPOSAL_FEE,other,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FULFILMENT_BY_AMAZON_INVENTORY_FEE,FBA_DISPOSAL_FEE,total,txn_ref+FBA_DISPOSAL_FEE+settlement_id+date,,
SAFE-T_REIMBURSEMENT,SAFE-T_CLAIM_ID,total,txn_ref+sku+settlement_id+date,,
SAFE-T_REIMBURSEMENT,SAFE-T_CLAIM_ID,other,txn_ref+sku+settlement_id+date,expenses_fba_fees,expenses_fba_fees
TRANSFER,MICRO_DEPOSIT,total,MICRO_DEPOSIT+settlement_id+date,,
TRANSFER,MICRO_DEPOSIT,other,MICRO_DEPOSIT+settlement_id+date,bank_account_transfer_round_off,bank_account_transfer_round_off
TRANSFER,TO_YOUR_ACCOUNT_ENDING,total,TRANSFER+description+settlement_id+date,,
TRANSFER,TO_ACCOUNT_ENDING,total,TRANSFER+description+settlement_id+date,,
ORDER,any,selling_fees,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,any,promotional_rebates,txn_ref+sku+date,expenses_other,expenses_other
ORDER,any,other_transaction_fees,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,any,product_sales,txn_ref+sku+date,sales_product_charges,sales_product_charges
ORDER,any,shipping_credits,txn_ref+sku+date,sales_shipping,sales_shipping
ORDER,any,total,txn_ref+sku+date,,
ORDER,any,gift_wrap_credits,txn_ref+sku+date,sales_gift_wrap_credits,sales_gift_wrap_credits
ORDER,any,sales_tax_collected,txn_ref+sku+date,sales_product_charges,sales_product_charges
ORDER,any,sales_tax_collected,txn_ref+sku+date,sales_shipping,sales_shipping
ORDER,any,fba_fees,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,any,marketplace_withheld_tax,txn_ref+sku+date,,
A-TO-Z_GUARANTEE_CLAIM,any,product_sales,txn_ref+sku+date,expenses_other,expenses_other
A-TO-Z_GUARANTEE_CLAIM,any,selling_fees,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
A-TO-Z_GUARANTEE_CLAIM,any,marketplace_withheld_tax,txn_ref+sku+date,,
A-TO-Z_GUARANTEE_CLAIM,any,total,txn_ref+sku+date,,
AMAZON_FEES,VINE_ENROLLMENT_FEE,selling_fees,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
AMAZON_FEES,VINE_ENROLLMENT_FEE,total,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,,
AMAZON_FEES,VINE_ENROLMENT_FEE,selling_fees,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
AMAZON_FEES,VINE_ENROLMENT_FEE,total,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,,
