transaction_type,amount_type,amount_description,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,FREE_REPLACEMENT_REFUND_ITEMS,txn_ref+sku+ADJUSTMENT+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,REVERSAL_REIMBURSEMENT,txn_ref+sku+ADJUSTMENT+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,WAREHOUSE_LOST,LOST:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,WAREHOUSE_DAMAGE_EXCEPTION,DAMAGED:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,RE_EVALUATION,GENERAL ADJUSTMENT+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,WAREHOUSE_DAMAGE,DAMAGED:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,MISSING_FROM_INBOUND_CLAWBACK,GENERAL ADJUSTMENT+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,MISSING_FROM_INBOUND,LOST:INBOUND+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,CS_ERROR_ITEMS,txn_ref+sku+ADJUSTMENT+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,WAREHOUSE_LOST_MANUAL,LOST:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
TRANSFERS,MICRO_DEPOSIT,MICRO_DEPOSIT,MICRO_DEPOSIT+settlement_id+date,bank_account_transfer_round_off,bank_account_transfer_round_off
ORDER,ITEMPRICE,GIFTWRAPTAX,txn_ref+sku+date,sales_other,sales_other
ORDER,ITEMPRICE,SHIPPING,txn_ref+sku+date,sales_shipping,sales_shipping
ORDER,ITEMPRICE,SHIPPINGTAX,txn_ref+sku+date,sales_shipping,sales_shipping
ORDER,ITEMPRICE,PRINCIPAL,txn_ref+sku+date,sales_product_charges,sales_product_charges
ORDER,ITEMPRICE,TAX,txn_ref+sku+date,sales_product_charges,sales_product_charges
ORDER,ITEMPRICE,GIFTWRAP,txn_ref+sku+date,sales_other,sales_other
ORDER,ITEMFEES,FBAPERUNITFULFILLMENTFEE,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,ITEMFEES,GIFTWRAPCHARGEBACK,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,ITEMFEES,SHIPPINGCHARGEBACK,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,ITEMFEES,COMMISSION,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,ITEMFEES,DIGITALSERVICESFEE,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,PROMOTION,PRINCIPAL,txn_ref+sku+date,expenses_promotional_rebates,expenses_promotional_rebates
ORDER,PROMOTION,SHIPPING,txn_ref+sku+date,expenses_promotional_rebates,expenses_promotional_rebates
ORDER,POINTS,POINTSGRANTED,txn_ref+sku+date,expenses_other,expenses_other
COMMINGLING_VAT,OTHER-TRANSACTION,COMMINGLING_VAT,txn_ref+date,sales_tax,sales_tax
FBAFEES,FBA_CUSTOMER_RETURNS_FEE,BASE_FEE,FBA_TRANSACTION_FEES_FBA_CUSTOMER_RETURNS_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
FBAFEES,AWD_STORAGE_FEE,BASE_FEE,txn_ref+FBA_TRANSACTION_FEES_AWD_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
LIQUIDATIONS_ADJUSTMENTS,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-PRINCIPAL,txn_ref+sku+date,sales_other,sales_other
SAFE-T_REIMBURSEMENT,OTHER_TRANSACTIONS,SAFE-T_REIMBURSEMENT,txn_ref+sku+settlement_id+date,sales_inventory_reimbursements,sales_inventory_reimbursements
A-TO-Z_GUARANTEE_REFUND,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-PRINCIPAL,txn_ref+sku+date,refunded_expenses,refunded_expenses
A-TO-Z_GUARANTEE_REFUND,ITEMPRICE,TAX,txn_ref+sku+date,refunded_expenses,refunded_expenses
A-TO-Z_GUARANTEE_REFUND,ITEMPRICE,PRINCIPAL,txn_ref+sku+date,expenses_other,expenses_other
A-TO-Z_GUARANTEE_REFUND,ITEMFEES,COMMISSION,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
A-TO-Z_GUARANTEE_REFUND,ITEMFEES,REFUNDCOMMISSION,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
ORDER_RETROCHARGE,ITEMPRICE,SHIPPINGTAX,txn_ref+ORDER_RETROCHARGE+settlement_id+date,sales_other,sales_other
